136707	4
29186	86
67592	6
39436	44
155148	4
152589	6
98320	187
80916	4
43033	232
145950	51
120351	1
129566	-1
132130	1
173602	18
125475	26
120356	2
125480	1
34858	44
71723	1
120363	1
42539	153
138286	144
55341	259
109614	4
117296	23
115251	46
121395	4
152631	174
119353	1
102459	59
148536	42
148537	-1
148545	12
64069	51
124999	148
29769	18
120909	216
42573	1
88652	2
149071	266
120401	32
44117	515
57430	276
108118	1
50776	330
57436	203
61536	116
70241	11
49250	1
155238	84
135780	-1
113257	80
83563	14
128618	2
83565	45
34925	118
60015	2
146546	3
96371	1
112243	282
70773	350
51320	93
51322	65
117882	94
151673	52
128128	2
71811	8
34951	25
47754	57
82570	408
151182	6
150671	714
128655	89
82062	1
54421	1
58520	26
119451	91
159896	402
120474	376
41123	1
52394	163
125101	154
62642	7
54965	1
101047	21
133307	20
43194	852
114875	70
128699	30
145086	4
43709	976
31423	113
67774	181
152257	2
71878	271
37576	4
46280	-1
124105	165
74952	10
39626	1
59596	91
158412	37
32463	522
92880	825
116949	187
122580	1
47318	31
148693	176
73433	7
51929	63
46298	132
53981	1
123612	49
120543	7
154332	29
128744	152
156904	1308
128237	202
29934	6
53999	173
124654	218
44272	9
38131	77
148727	185
119543	-1
28919	66
147701	85
153845	370
40192	4
125699	37
148737	589
86789	443
29959	62
121616	58
152848	89
62227	31
53012	3
130837	33
76055	24
95517	336
145693	13
156962	91
107299	101
152871	15
47910	20
151845	-1
149289	1
152873	2
152366	-1
28974	19
123695	770
138540	1
148786	19
49457	420
130869	10
149305	137
132926	854
76096	1
82752	29
57666	4
118599	225
152388	4
59208	5
64331	39
123212	3
47952	1
72528	3
87376	89
142165	269
147801	165
48990	95
131932	1
131933	324
54625	12
99168	30
100195	589
33635	28
83303	72
113510	1
77163	19
37739	106
158573	16
125810	155
122742	177
80249	1
70008	1
126328	12
68991	1
151938	2
100227	36
124808	2
36234	12
50570	499
68494	12
134541	37
69011	10
116626	9
115607	31
138143	52
120739	1
158624	357
148388	126
119210	267
148908	5
45489	104
118192	5
131505	2
81846	30
138171	2
148409	3
40380	124
153535	8
36803	5
161217	5
117189	3
119749	19
48080	8
72150	48
30168	-1
70619	20
136665	38
72157	5
125405	40
72671	121
61411	19
138215	25
49638	-1
77799	1
132591	10
138223	99
148972	127
129525	15
59895	2
72699	1
118781	393
74238	1
133117	2
