337415	3
222080	2
442245	142
455042	1
385293	359
424591	121
85384	26
252556	1
471062	2
409236	16
28951	17
363293	2
480029	3
409245	5
380313	117
413083	14
399769	1
420004	6
410402	11
467618	1
483895	37
426678	1
485302	2
341296	8
29621	1
162740	165
476859	37
401848	3
434630	3
176320	10
11076	265
373953	1
421711	1
180169	1
65738	252
403147	1
427218	8
391376	1
234074	12
438875	23
413913	11
369381	2
24934	1
472815	2
385132	117
412650	2
357110	191
479474	1
90612	1
423409	4
401790	1
23162	1
403705	76
421469	60
431275	1
190268	4
277382	28
393356	5
412639	1
418843	414
423280	1
427216	5
439431	81
448043	265
46084	43
464570	2
471034	1
474762	2
483467	23
488888	-1
92005	-1
15036	2
388634	14
396139	27
396258	3
399567	3
401989	3
403457	4
405051	5
405889	380
412882	4
415911	2
416313	6
417388	5
417669	1
418919	1
424718	1
426434	1
430451	1
478427	6
69658	8
70665	7
104245	1
124099	-1
126180	52
126914	1
145202	16
148328	11
149562	-1
150655	2
158274	1
165346	81
168331	7
170843	2
17531	2098
176591	2
181393	2
186457	3
193784	11
208186	1
217002	1
228691	12
268802	1
29516	109
301894	22
30516	3
327143	1
341499	4
41554	79
421796	5
424075	1
425493	2
429763	2
429949	3
430987	1
431963	132
432603	2
435397	1
441338	1
448800	1
451660	1
451677	1
460465	1
470535	1
483690	9
488461	1
55930	2
79809	6
83297	7
88757	1
405125	5
406396	5
422107	1
25377	248
31261	45
403036	3
42243	1
456395	16
